name,dosage,form,active_substance,indications,contraindications,category
Мирамистин суппозитории вагинальные,15 мг ; 10 шт,суппозитории,бензилдиметил[3-(миристоиламино)пропил]аммоний хлорид моногидрат,гинекологические инфекции,,Акушерство и гинекология / Инфекции
Аллергофри,"5 мг, 10 шт",таблетки,левоцетиризина дигидрохлорид 5 мг,Лечение симптомов аллергических ринитов.,,Аллергия / Противоаллергические
Дезлоратадин таб п/об пленочной,5мг ; 30 шт,таблетки,дезлоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Диазолин,"100 мг, 10 шт",таблетки,диазолин (мебгидролина нападизилат),"Сенная лихорадка, аллергический ринит, поллиноз.",,Аллергия / Противоаллергические
Кестин,"20 мг, 10 шт",таблетки лиофилизированные,эбастин 20 мг,Аллергический ринит различной этиологии (сезонный и круглогодичный).,Повышенная чувствительность к компонентам препарата.,Аллергия / Противоаллергические
Контразуд гель для наружн.прим-я 0.1%,5г,гель,диметинден,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10 мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10 мг ; 30 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-Акрихин таблетки,10 мг ; 30 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-ВЕРТЕКС,"10 мг, 30 шт",таблетки,лоратадин 10 мг,Сезонный и круглогодичный аллергический ринит.,,Аллергия / Противоаллергические
Лоратадин-ВЕРТЕКС таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-Тева таб,10мг ; 10 шт,таблетки,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
Лоратадин-ЭКОлаб сироп,1 мг/мл ; 1 мг ; 100 мл,сироп,лоратадин,"аллергический ринит, зуд, крапивница, аллергические реакции",,Аллергия / Противоаллергические
